Agency,Agency_Name,Borough,Location_Type,Street_Name,Complaint_Type,Descriptor,Incident_Zip
DOT,Department of Transportation,MANHATTAN,,71 ST W,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,,Street Condition,Pothole,11374
DOT,Department of Transportation,QUEENS,,,Street Condition,Pothole,11411
DOT,Department of Transportation,QUEENS,,131 STREET,Street Condition,Pothole,11356
DOT,Department of Transportation,BRONX,Highway,,Highway Condition,Graffiti - Highway,
DSNY,BCC - Staten Island,STATEN ISLAND,Sidewalk,,Sanitation Condition,12 Dead Animals,10303
DSNY,BCC - Staten Island,STATEN ISLAND,Sidewalk,,Sanitation Condition,12 Dead Animals,10303
DOF,Refunds and Adjustments,Unspecified,N/A,,DOF Parking - Payment Issue,Waive Penalty for Late Payment,
DSNY,BCC - Brooklyn South,BROOKLYN,Sidewalk,EAST   19 STREET,Sanitation Condition,12 Dead Animals,11230
HRA,HRA Benefit Card Replacement,Unspecified,Address Outside of NYC,,Benefit Card Replacement,Food Stamp,
HRA,HRA Benefit Card Replacement,Unspecified,NYC Street Address,,Benefit Card Replacement,Medicaid,
DOT,Department of Transportation,BROOKLYN,,,Street Condition,Pothole,11211
DOT,Department of Transportation,MANHATTAN,,,Street Condition,Pothole,10036
DFTA,Department for the Aging,BRONX,Senior Address,,Housing - Low Income Senior,N/A,10456
HRA,HRA Benefit Card Replacement,Unspecified,NYC Street Address,,Benefit Card Replacement,Food Stamp,
HRA,HRA Benefit Card Replacement,Unspecified,NYC Street Address,,Benefit Card Replacement,Medicaid,
HRA,HRA Benefit Card Replacement,Unspecified,P.O. Box,,Benefit Card Replacement,Cash Assistance,
HRA,HRA Benefit Card Replacement,Unspecified,NYC Street Address,,Benefit Card Replacement,Food Stamp,
HRA,HRA Benefit Card Replacement,Unspecified,NYC Street Address,,Benefit Card Replacement,Medicaid,
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Request for Hearing After Judgment - Parking Ticket,
DSNY,BCC - Queens East,QUEENS,Street,,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,11693
DOF,Personal Exemption Unit,STATEN ISLAND,"1-, 2- and 3- Family Home",,DOF Property - Reduction Issue,Personal SCHE Exemption,10308
DOF,Personal Exemption Unit,QUEENS,Co-Op Unit,,DOF Property - Reduction Issue,Personal STAR Exemption,11360
DPR,Department of Parks and Recreation,QUEENS,Park,,Animal in a Park,Dog Off Leash,11413
HRA,HRA Benefit Card Replacement,Unspecified,NYC Street Address,,Benefit Card Replacement,Medicaid,
HRA,HRA Benefit Card Replacement,Unspecified,NYC Street Address,,Benefit Card Replacement,Medicaid,
HRA,HRA Benefit Card Replacement,Unspecified,NYC Street Address,,Benefit Card Replacement,Medicaid,
HRA,HRA Benefit Card Replacement,Unspecified,NYC Street Address,,Benefit Card Replacement,Medicaid,
HRA,HRA Benefit Card Replacement,Unspecified,NYC Street Address,,Benefit Card Replacement,Medicaid,
DSNY,Department of Sanitation,BROOKLYN,,MANHATTAN AVENUE,Graffiti,Graffiti,11222
DOB,Department of Buildings,QUEENS,,161 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11358
DOB,Department of Buildings,BRONX,,BROADWAY,Special Enforcement,SEP - Professional Certification Compliance Audit,10463
DOB,Department of Buildings,QUEENS,,GORSLINE STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11373
DOB,Department of Buildings,QUEENS,,BOOTH MEML AVENUE,Building/Use,Illegal. Commercial Use In Resident Zone,11355
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,8 AVENUE,Graffiti,Graffiti,11220
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,3 AVENUE,Graffiti,Graffiti,10003
DSNY,Department of Sanitation,MANHATTAN,Comercial,11 AVENUE,Graffiti,Graffiti,10011
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,MULBERRY STREET,Graffiti,Graffiti,10012
DSNY,Department of Sanitation,BROOKLYN,Comercial,MCDONALD AVENUE,Graffiti,Graffiti,11223
DOB,Department of Buildings,BRONX,,GRAND CONCOURSE,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,10457
DSNY,Department of Sanitation,BRONX,Comercial,EAST  204 STREET,Graffiti,Graffiti,10467
DSNY,Department of Sanitation,BROOKLYN,,PULASKI STREET,Graffiti,Graffiti,11206
DPR,Department of Parks and Recreation,BROOKLYN,,HOMECREST AVENUE,New Tree Request,For One Address,11229
DSNY,Department of Sanitation,QUEENS,,64 Street,Graffiti,Graffiti,
